DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,longitude,latitude
"18","001",FLORENCIA,-75.485,1.472
"18","001",FLORENCIA,-75.561,1.590
"18","001",FLORENCIA,-75.561,1.589
"18","001",FLORENCIA,-75.560,1.589
"18","756",SOLANO,-72.397,-0.602
"18","756",SOLANO,-75.236,0.742
"19","001",POPAYÁN,-76.609,2.453
"19","318",GUAPI,-77.895,2.575
"76","147",CARTAGO,-75.953,4.760
"76","520",PALMIRA,-76.388,3.538
"76","520",PALMIRA,-76.388,3.538
"76","520",PALMIRA,-76.387,3.537
"76","520",PALMIRA,-76.387,3.536
"76","520",PALMIRA,-76.386,3.537
"76","520",PALMIRA,-76.388,3.537
"76","520",PALMIRA,-76.387,3.541
"76","834",TULUÁ,-76.224,4.089
"76","109",BUENAVENTURA,-76.993,3.821
"86","885",VILLAGARZÓN,-76.604,0.979
"86","568",PUERTO ASÍS,-76.502,0.502
"86","573",PUERTO LEGUÍZAMO,-74.773,-0.183
"52","022",ALDANA,-77.676,0.858
"52","240",CHACHAGÜÍ,-77.290,1.396
"94","001",INÍRIDA,-67.908,3.852
"94","001",INÍRIDA,-67.908,3.852
"99","001",PUERTO CARREÑO,-67.491,6.184
"85","001",YOPAL,-72.386,5.321
"85","001",YOPAL,-72.383,5.324
"85","250",PAZ DE ARIPORO,-71.888,5.877
"91","001",LETICIA,-69.941,-4.197
"97","001",MITÚ,-70.232,1.257
"95","001",SAN JOSÉ DEL GUAVIARE,-72.638,2.572
"95","025",EL RETORNO,-70.032,2.245
"17","001",MANIZALES,-75.469,5.029
"63","001",ARMENIA,-75.768,4.453
"66","001",PEREIRA,-75.738,4.815
"05","001",MEDELLÍN,-75.587,6.219
"05","837",TURBO,-76.696,7.940
"05","250",EL BAGRE,-74.810,7.597
"05","154",CAUCASIA,-75.199,7.966
"05","147",CAREPA,-76.718,7.818
"05","615",RIONEGRO,-75.428,6.171
"05","604",REMEDIOS,-74.716,7.011
"05","579",PUERTO BERRÍO,-74.412,6.464
"05","490",NECOCLÍ,-76.778,8.450
"27","001",QUIBDÓ,-76.644,5.691
"27","006",ACANDÍ,-77.350,8.634
"27","075",BAHÍA SOLANO,-77.396,6.203
"27","077",BAJO BAUDÓ,-77.362,4.958
"27","495",NUQUÍ,-77.266,5.708
"52","835",SAN ANDRÉS DE TUMACO,-78.754,1.813
"23","162",CERETÉ,-75.824,8.825
"08","758",SOLEDAD,-74.777,10.887
"13","001",CARTAGENA DE INDIAS,-75.516,10.446
"13","001",CARTAGENA DE INDIAS,-75.516,10.446
"13","468",MOMPÓS,-74.436,9.262
"20","001",VALLEDUPAR,-73.248,10.434
"44","098",DISTRACCIÓN,-72.899,10.888
"44","001",RIOHACHA,-72.919,11.529
"44","035",ALBANIA,-72.491,11.235
"47","707",SANTA ANA,-74.341,9.522
"47","189",CIÉNAGA,-74.216,11.007
"47","001",SANTA MARTA,-74.233,11.117
"47","245",EL BANCO,-73.972,9.046
"70","215",COROZAL,-75.284,9.332
"70","221",COVEÑAS,-75.693,9.402
"70","820",SANTIAGO DE TOLÚ,-75.586,9.514
"88","001",SAN ANDRÉS,-81.702,12.586
"88","564",PROVIDENCIA,-81.359,13.359
"81","001",ARAUCA,-70.736,7.067
"81","220",CRAVO NORTE,-70.213,6.312
"81","736",SARAVENA,-71.861,6.956
"54","001",SAN JOSÉ DE CÚCUTA,-72.509,7.926
"54","001",SAN JOSÉ DE CÚCUTA,-72.508,7.927
"54","498",OCAÑA,-73.357,8.316
"11","001","BOGOTÁ, D.C.",-74.137,4.691
"11","001","BOGOTÁ, D.C.",-74.142,4.698
"11","001","BOGOTÁ, D.C.",-74.140,4.693
"50","001",VILLAVICENCIO,-73.619,4.164
"50","001",VILLAVICENCIO,-73.619,4.164
"50","001",VILLAVICENCIO,-73.619,4.165
"50","001",VILLAVICENCIO,-73.619,4.164
"50","350",LA MACARENA,-73.787,2.180
"50","568",PUERTO GAITÁN,-71.458,3.755
"41","001",NEIVA,-75.293,2.947
"41","551",PITALITO,-76.090,1.857
"68","081",BARRANCABERMEJA,-73.809,7.025
"68","406",LEBRIJA,-73.182,7.128
"68","432",MÁLAGA,-72.731,6.705
"68","307",GIRÓN,-73.181,7.128
"73","001",IBAGUÉ,-75.141,4.425
"73","001",IBAGUÉ,-75.117,4.375
"73","001",IBAGUÉ,-75.133,4.392
"73","275",FLANDES,-74.798,4.277
"73","443",SAN SEBASTIÁN DE MARIQUITA,-74.886,5.209
