mnz,pob
6300110000000000000000,1712
6300110000000000010113,74
6300110000000000010114,71
6300110000000000010115,124
6300110000000000010116,79
6300110000000000010117,86
6300110000000000010118,100
6300110000000000010119,92
6300110000000000010120,96
6300110000000000010121,65
6300110000000000010122,44
6300110000000000010123,67
6300110000000000010124,26
6300110000000000010127,84
6300110000000000010129,48
6300110000000000010131,201
6300110000000000010138,117
6300110000000000010139,65
6300110000000000010140,93
6300110000000000010141,83
6300110000000000010143,47
6300110000000000010145,59
6300110000000000010146,49
6300110000000000010147,77
6300110000000000010148,33
6300110000000000010153,127
6300110000000000010154,219
6300110000000000010157,0
6300110000000000010203,91
6300110000000000010205,114
6300110000000000010206,101
6300110000000000010209,141
6300110000000000010212,56
6300110000000000010214,147
6300110000000000010215,57
6300110000000000010219,98
6300110000000000010224,416
6300110000000000010225,48
6300110000000000010226,44
6300110000000000010227,71
6300110000000000010228,158
6300110000000000010229,79
6300110000000000010231,49
6300110000000000010232,45
6300110000000000010233,38
6300110000000000010234,82
6300110000000000010235,85
6300110000000000010236,74
6300110000000000010301,20
6300110000000000010303,61
6300110000000000010304,58
6300110000000000010305,57
6300110000000000010306,47
6300110000000000010307,55
6300110000000000010308,29
6300110000000000010309,68
6300110000000000010310,79
6300110000000000010311,76
6300110000000000010312,106
6300110000000000010313,111
6300110000000000010314,55
6300110000000000010315,87
6300110000000000010316,58
6300110000000000010317,126
6300110000000000010318,63
6300110000000000010320,56
6300110000000000010321,195
6300110000000000010322,0
6300110000000000010323,29
6300110000000000010324,42
6300110000000000010325,40
6300110000000000010326,110
6300110000000000010327,22
6300110000000000010328,86
6300110000000000010329,100
6300110000000000010330,68
6300110000000000010331,1759
6300110000000000010332,687
6300110000000000010333,536
6300110000000000010334,145
6300110000000000010335,97
6300110000000000010336,30
6300110000000000010337,61
6300110000000000010338,23
6300110000000000010339,18
6300110000000000010403,23
6300110000000000010404,122
6300110000000000010406,259
6300110000000000010407,70
6300110000000000010410,91
6300110000000000010411,143
